sonido ,id_posicion,tipo de signo,,,,
a,1,punto grueso,,,,
e,2,punto grueso,,,,
i,3,punto grueso,,,,
o,1,punto grueso,,,,
u,3,punto grueso,,,,
ia,1,cuña(V),,,,
ie,1,cuña(V),,,,
io,3,cuña(V),,,,
iu,3,cuña(V),,,,
ua,1,rayita,,,,
ue,1,rayita,,,,
uo,1,ganchito,,,,
