simbolo,archivo_imagen,,,,,,
",",Imagen,,,,,,
;,Imagen,,,,,,
:,Imagen,,,,,,
.,Imagen,,,,,,
.,Imagen,,,,,,
.,Imagen,,,,,,
…,Imagen,,,,,,
?,Imagen,,,,,,
!,Imagen,,,,,,
-,Imagen,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,*
